EEG Data
Username,Company Name,Age
Vasu,LTIMindtree,123
Timestamp,Attention,SessionTime,Meditation,BlinkStrength,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,GazeX,GazeY
21-02-2025 15:19:13,63, 00:00:02,61,103,17796,14374,4911,10384,9541,10063,12243,4279,696,186
21-02-2025 15:19:15,69, 00:00:04,61,103,5072,3800,2834,6323,9891,8109,8591,6204,471,118
21-02-2025 15:19:18,69, 00:00:06,69,103,31047,8865,3493,9569,8348,7341,7979,8581,442,146
21-02-2025 15:19:23,69, 00:00:11,63,103,5825,27472,16175,5513,5354,11966,9160,14408,471,178
21-02-2025 15:19:25,75, 00:00:13,63,103,9044,6336,7356,9689,6882,27956,10693,1759,440,199
21-02-2025 15:19:27,77, 00:00:16,60,103,6906,21606,2551,14542,3890,17991,4466,3734,298,412
21-02-2025 15:19:30,83, 00:00:18,66,103,3791,25228,3747,12247,9822,12584,9009,7530,310,408
21-02-2025 15:19:35,83, 00:00:23,61,103,4678,10676,7574,2251,6862,13688,17933,5400,666,1006
21-02-2025 15:19:37,84, 00:00:25,50,103,10648,11882,1384,4490,24956,9242,9804,3302,896,779
21-02-2025 15:19:39,88, 00:00:28,48,103,3615,9605,3654,6162,13600,8995,3313,1533,1334,718
21-02-2025 15:19:42,88, 00:00:30,44,103,7299,9947,4125,2045,3795,6632,8520,4084,1555,394
21-02-2025 15:19:47,81, 00:00:35,66,103,22020,7516,3075,3301,3937,10710,8169,7148,1532,512
21-02-2025 15:19:49,78, 00:00:37,78,103,9953,10780,11983,6578,3817,8491,10333,2155,1486,569
21-02-2025 15:19:51,64, 00:00:40,70,103,34069,48969,6355,4921,6884,4747,16210,2682,1418,532
21-02-2025 15:19:54,74, 00:00:42,53,103,4749,10659,3789,1145,5441,9318,10734,12943,1914,50
21-02-2025 15:19:59,80, 00:00:47,38,103,3726,8853,3307,2810,4366,9603,6584,8076,1254,349
21-02-2025 15:20:01,96, 00:00:50,53,103,4465,3091,6907,11002,6695,13401,6276,1965,1176,392
21-02-2025 15:20:06,93, 00:00:54,67,103,4238,3764,9584,8185,8127,9532,11957,3538,1542,702


User Activity
